0,0.32
1,1.84
2,6.9
3,13.73
4,19.85
5,21.25
6,16.41
7,9.74
8,5.03
9,2.42
10,1.13
11,0.5
12,0.29
13,0.23
14,0.11
15,0.09
16,0.06
17,0.07
18,0.02
19,0.01
